obs,time,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Attention,Meditation,Blink,Derived,totPwr,class
1695,2.0,1979100,143494,8579,15441,24205,10556,9489,7674,0,0,0,0.13,2198538,3
1696,3.0,802840,51509,15891,37145,17955,5940,7769,3989,0,0,0,0.15,943038,3
1697,3.8,2284672,402362,230687,104122,68459,35139,29221,39755,0,0,42,0.18,3194417,3
1698,4.0,987632,193613,26468,75796,26015,34808,30488,32978,51,44,34,0.23,1407798,3
1699,4.7,0,0,0,0,0,0,0,0,0,0,43,0.0,0,3
1700,6.0,428464,38565,4049,17140,8187,6765,1238,3963,64,51,34,0.21,508371,2
1701,7.0,1633872,494316,259349,79785,106531,57649,7703,72149,67,60,34,0.24,2711354,2
1702,7.5,1415693,122103,121043,10950,13760,11810,2611,15524,57,78,54,0.24,1713494,2
1703,8.3,852368,140151,6411,24935,27541,22604,4006,19468,61,66,38,0.23,1097484,2
1704,10.0,3247158,167839,102793,54133,77123,44279,19969,58523,66,70,75,0.2,3771817,2
1705,10.8,1182379,18149,12118,10494,20178,7320,4202,18537,87,70,58,0.21,1273377,2
1706,11.4,544947,146747,11223,14994,14170,17927,4569,12021,100,47,45,0.2,766598,3
1707,11.7,0,0,0,0,0,0,0,0,0,0,38,0.0,0,3
1708,13.0,1209297,206578,24785,5044,20215,13660,3714,14094,87,43,46,0.2,1497387,3
1709,14.0,1110819,254653,237246,90604,53047,23123,21531,51377,57,50,0,0.23,1842400,0
1710,14.7,615738,146475,12381,8097,21508,10875,3724,4809,34,30,92,0.22,823607,3
1711,15.8,1457205,320266,129168,88443,80124,96195,35353,20130,43,44,47,0.24,2226884,3
1712,17.0,359187,21420,4938,3850,2347,1863,694,1355,44,57,36,0.21,395654,2
1713,17.3,1395425,270892,35730,34473,56467,23747,7601,14707,57,38,62,0.22,1839042,3
1714,17.4,0,0,0,0,0,0,0,0,0,0,71,0.0,0,3
1715,17.6,0,0,0,0,0,0,0,0,0,0,56,0.0,0,3
1716,19.0,157110,41051,12935,19957,6849,3873,2515,3515,53,61,48,0.2,247805,2
1717,20.0,663844,86221,11404,4710,5448,11762,5416,18492,44,50,53,0.22,807297,1
1718,20.9,2382285,701032,175672,128528,39369,119381,25790,55452,60,50,36,0.21,3627509,0
1719,22.0,908851,20600,19396,22116,9517,6620,3135,15545,67,74,0,0.23,1005780,2
1720,22.9,895967,73159,52754,4678,36463,4613,2565,11985,60,69,66,0.23,1082184,2
1721,24.0,1064871,139269,6467,11644,18495,6294,2278,13832,35,63,38,0.21,1263150,2
1722,24.9,1197928,13677,98157,42070,42277,22473,3538,60300,38,81,61,0.21,1480420,2
1723,25.9,262210,83658,33881,29699,26363,21213,9836,13632,50,67,0,0.24,480492,2
1724,26.9,652563,464538,31193,16609,44062,19894,13564,34434,50,41,0,0.28,1276857,3
1725,27.9,1704561,206282,108037,30024,36874,25545,35804,50757,63,61,0,0.31,2197884,2
1726,28.9,196304,26517,1301,2454,4604,2174,1023,2922,50,26,0,0.32,237299,3
1727,29.9,911197,25280,32467,44422,17613,17825,6040,51041,53,40,0,0.33,1105885,3
1728,30.9,79510,73531,22486,38069,11346,16005,9176,49938,80,64,0,0.47,300061,2
1729,31.9,98668,58912,10931,32743,27120,15909,11994,34680,100,63,0,0.58,290957,2
1730,32.9,840747,95708,57466,72521,14578,17094,9986,67826,100,91,51,0.6,1175926,2
1731,33.9,622543,482931,34723,185410,37252,51299,29844,42622,80,77,0,0.65,1486624,2
1732,34.9,298251,180935,24041,18853,13098,29283,20990,48942,84,61,0,0.72,634393,2
1733,35.9,1834431,34949,61004,31247,9314,14314,4854,31973,75,78,35,0.53,2022086,2
1734,36.9,214722,289758,58262,26453,33352,16094,6672,28255,60,61,0,0.45,673568,2
1735,37.9,225078,35998,7602,7090,5679,2251,2148,8097,47,60,0,0.43,293943,2
1736,38.9,126178,320581,25805,16332,23265,24606,10914,32046,29,53,0,0.5,579727,2
1737,39.9,2248958,655512,87949,16980,61853,14220,5790,28636,1,21,0,0.39,3119898,3
1738,40.9,965469,369649,30198,34551,44770,17578,1950,29137,7,14,0,0.4,1493302,3
1739,41.9,270009,11728,2041,10794,2395,948,384,1628,13,26,0,0.32,299927,3
1740,42.9,496019,65839,29384,47898,9878,2774,1226,7644,1,53,0,0.29,660662,2
1741,43.9,1169580,411328,33518,164429,35273,16827,9469,20705,1,67,0,0.18,1861129,2
1742,44.9,636235,30125,8072,12895,5075,3198,1435,4315,10,84,0,0.17,701350,2
1743,45.9,1655086,107697,31692,149936,14057,7986,18653,24592,3,91,0,0.17,2009699,2
1744,46.9,1239416,243636,106999,82097,31696,24979,6179,23813,24,84,0,0.19,1758815,2
1745,47.9,498034,406178,50979,51311,18144,15717,10572,18714,26,77,0,0.23,1069649,2
1746,48.9,58279,12177,490,8504,1137,1107,442,1302,23,78,0,0.23,83438,2
1747,49.9,1213090,167360,7695,236222,9993,13061,7768,21405,24,77,0,0.25,1676594,2
1748,50.9,2220650,480784,41625,142954,27654,10742,9786,22875,4,69,0,0.23,2957070,2
1749,51.9,1272464,58320,16228,55709,7657,8031,682,2712,17,88,0,0.21,1421803,2
1750,52.9,130617,14610,3195,11878,2321,992,211,1212,13,91,0,0.16,165036,2
1751,53.9,123163,55526,17252,41368,5820,4762,1321,5146,20,87,0,0.18,254358,2
1752,54.9,387680,57855,116569,54789,22073,38905,7346,29599,61,100,0,0.22,714816,2
1753,55.9,1551257,157311,29194,75203,37151,40474,8341,24346,77,93,0,0.23,1923277,2
1754,56.9,415759,39867,4899,16032,5890,4668,5698,5477,91,84,0,0.26,498290,2
1755,57.9,577342,13425,15956,7554,5793,5250,1323,6850,100,88,0,0.26,633493,2
1756,58.9,416532,59245,81404,76562,13764,38623,8365,19627,100,88,0,0.27,714122,2
1757,59.9,1109894,194099,182752,89293,30343,39706,5802,26561,100,97,0,0.23,1678450,2
1758,60.9,682474,156207,74728,59582,19125,33039,10566,19893,100,100,0,0.25,1055614,2
1759,60.9,248991,51327,15801,17282,6002,7009,1270,4097,0,0,0,0.25,351779,3
1760,2.5,168180,14670,8322,8166,882,5022,1127,269,0,0,0,0.12,206638,3
1761,3.5,631463,61565,22755,4846,2679,4462,1753,1944,0,0,0,0.12,731467,3
1762,4.5,33674,59613,9067,20469,6559,12247,5416,5539,0,0,0,0.35,152584,3
1763,5.5,1170381,107989,16252,10006,24877,62979,9764,3699,53,30,122,0.3,1405947,3
1764,6.5,372949,18224,5802,4341,2114,1712,864,601,47,38,0,0.25,406607,3
1765,7.5,208864,24274,32240,21725,15366,21263,8120,3874,54,53,0,0.3,335726,2
1766,8.5,25833,17843,31504,6990,17257,6136,11685,1508,53,67,0,0.46,118756,2
1767,9.5,94900,20828,40772,10744,6059,8358,7707,4361,40,96,0,0.4,193729,2
1768,10.5,3199,15432,8803,10099,5685,5198,5648,3933,50,100,0,0.85,57997,2
1769,11.5,763463,116994,6818,37990,32342,73266,30590,13832,54,83,122,0.9,1075295,2
1770,13.5,610770,69599,17019,7139,5164,8406,5292,2318,53,67,0,0.87,725707,2
1771,14.5,239541,35449,12332,8672,4771,7009,5202,3612,53,54,0,0.74,316588,2
1772,15.5,441443,62862,17191,4529,5910,28040,14897,6179,61,41,0,0.7,581051,3
1773,16.5,694231,25288,18592,15290,8722,9799,9355,2406,51,57,0,0.25,783683,2
1774,17.5,367887,73021,10048,2974,7045,6484,5554,3261,48,51,0,0.22,476274,2
1775,19.5,184954,145055,31397,14860,27544,20961,19642,10898,48,43,0,0.31,455311,3
1776,20.5,300080,57993,18293,15176,32657,20648,4382,3289,44,48,0,0.3,452518,3
1777,21.5,15230,14850,3972,7864,11271,22482,26160,11436,60,34,0,0.67,113265,3
1778,22.5,52051,7243,3975,4356,12312,33067,10620,6159,88,35,0,0.8,129783,3
1779,23.5,31529,16493,16168,2188,7256,36783,7712,5793,100,37,0,0.94,123922,3
1780,24.5,15205,15740,2528,9915,10458,16284,7252,7721,100,37,0,1.1,85103,3
1781,25.5,128898,32547,926,6305,6046,12460,23717,17066,100,29,0,1.22,227965,3
1782,26.5,53504,40484,3717,5286,9716,18530,17357,9762,84,24,0,0.98,158356,3
1783,27.5,4847,16318,5690,2200,5518,10373,19075,3806,77,23,0,1.4,67827,3
1784,28.5,31779,12514,5493,5908,10795,20630,9494,9954,81,23,0,1.43,106567,3
1785,29.5,135824,81823,38042,22398,12003,29185,14033,11487,77,37,0,1.28,344795,3
1786,30.5,212164,243005,7606,12026,24504,41534,15795,16408,67,27,0,1.23,573042,3
1787,31.5,189451,171037,6761,20767,28964,38205,8949,9622,61,17,0,1.12,473756,3
1788,32.5,222061,25410,1525,3905,6163,4178,1960,2308,43,11,61,0.58,267510,3
1789,33.5,1445227,66883,16613,23253,4885,8016,5748,2155,35,11,45,0.38,1572780,3
1790,34.5,762802,266556,15432,57093,27571,33156,21581,3972,30,27,72,0.31,1188163,3
1791,35.5,1138408,97915,51092,10676,10600,8858,11273,2499,21,47,44,0.23,1331321,3
1792,36.5,117613,72601,11116,15685,20940,9282,4860,2779,17,54,45,0.21,254876,2
1793,46.5,568142,95403,6935,44522,18775,9938,9538,5706,16,51,0,0.22,758959,2
1794,48.5,624822,201874,12456,27611,4856,4441,1002,1349,1,50,0,0.21,878411,1
1795,49.5,2404334,93078,18618,34599,52595,30814,17303,3922,13,41,0,0.19,2655263,3
1796,50.5,175624,103041,12714,40186,22272,19036,26213,8329,16,44,187,0.28,407415,3
1797,51.5,1404956,1238105,106240,86711,103157,73420,22930,10083,13,30,0,0.25,3045602,3
1798,52.1,575767,33603,6813,12236,3459,2817,2812,758,23,43,45,0.23,638265,3
1799,55.4,32352,11288,1367,17892,14655,13999,22610,7070,29,50,45,0.47,121233,1
1800,56.1,215900,96645,7639,51280,49448,22743,9560,15419,30,50,48,0.54,468634,1
1801,57.0,416242,28073,4442,4689,2210,4526,1347,1188,38,56,41,0.44,462717,2
1802,58.5,1709401,734182,471190,92384,51556,79522,53936,15252,38,60,188,0.45,3207423,2
1803,59.5,350954,153949,41809,24145,55788,34132,9383,7489,29,53,0,0.49,677649,2
1804,60.2,1089691,42986,5868,13042,7953,9549,8668,4360,29,53,90,0.26,1182117,2
1805,2.4,31497,24236,14642,9223,3941,7409,5564,1376,0,0,0,0.63,97888,3
1806,3.5,452675,50157,7684,2718,6209,7634,2425,1834,0,0,68,0.38,531336,3
1807,4.4,159817,155392,11466,26554,8234,8766,4599,2302,0,0,0,0.35,377130,3
1808,5.4,43929,5077,10101,2613,8110,6188,1637,2192,53,51,0,0.37,79847,2
1809,6.4,4601,5128,1184,1474,4998,4662,2834,929,70,44,0,0.54,25810,3
1810,7.4,6746,11933,3356,8388,6992,4264,3122,3345,80,54,0,0.69,48146,2
1811,8.5,25450,14388,2635,5553,4763,2947,2891,2333,81,60,54,0.79,60960,2
1812,9.5,71120,252827,28320,25277,20470,10050,3321,1560,54,41,0,0.81,412945,3
1813,10.5,8122,20506,4630,577,10912,5468,2191,2064,43,37,0,0.93,54470,3
1814,11.5,37607,20565,4388,3952,7759,9086,3809,1880,48,24,67,0.79,89046,3
1815,12.4,3493,2652,2330,1577,1292,1108,630,677,51,37,0,0.69,13759,3
1816,13.5,19113,10175,6772,3475,2748,6363,4172,1306,78,51,0,0.7,54124,2
1817,14.4,210555,6471,877,5359,2964,2187,746,327,77,74,0,0.65,229486,2
1818,15.4,29099,16277,10496,2890,3093,4617,3733,1299,69,87,55,0.56,71504,2
1819,16.5,316928,26362,8519,10157,5104,3502,1475,731,61,80,0,0.48,372778,2
1820,17.4,19611,5232,2107,4313,3290,3962,2483,2819,61,80,0,0.45,43817,2
1821,18.4,6071,21638,1946,8350,2777,4498,6573,1109,57,74,49,0.6,52962,2
1822,19.5,202806,28069,5927,7506,3467,1780,662,297,43,66,0,0.6,250514,2
1823,20.5,20467,15668,6569,6122,3902,9898,2915,2031,60,63,0,0.62,67572,2
1824,21.4,49909,16668,24764,12945,3219,6657,4212,1817,48,78,0,0.69,120191,2
1825,22.5,52265,22474,6618,27613,5831,13154,2459,2974,54,88,0,0.64,133388,2
1826,23.5,1538873,48047,5736,1487,3277,4391,888,281,61,70,0,0.35,1602980,2
1827,24.5,14203,3865,9232,10614,3383,7513,1511,1091,61,87,0,0.45,51412,2
1828,25.4,22507,11504,3602,3214,5505,5926,4971,1900,70,63,0,0.47,59129,2
1829,26.4,8752,10331,3413,10497,3739,4582,3223,965,69,61,0,0.56,45502,2
1830,27.5,4124,10013,1215,13915,6299,5102,3887,883,80,84,0,0.75,45438,2
1831,28.4,147213,39968,2414,5501,9474,2560,6323,1456,60,54,0,0.81,214909,2
1832,29.5,32728,12511,1093,2480,15567,2731,7457,1517,51,40,44,0.83,76084,3
1833,30.5,65152,26348,12680,8933,19419,5977,2821,1686,48,30,0,0.75,143016,3
1834,31.4,6350,19789,5678,1781,2010,6563,3657,1436,50,17,0,0.81,47264,3
1835,32.4,9814,13895,5481,7189,4058,3966,2237,1240,60,37,0,0.69,47880,3
1836,33.4,235085,60644,32201,35047,10795,28844,3935,988,64,64,0,0.66,407539,2
1837,34.4,13403,12912,3966,6562,5011,2436,2237,1543,61,67,0,0.68,48070,2
1838,35.5,13427,12458,5128,4757,7127,8564,4566,1478,67,70,0,0.78,57505,2
1839,36.4,10229,22036,7983,7137,12952,3841,4943,2002,64,64,65,0.77,71123,2
1840,37.4,107440,91772,47939,8356,7137,8365,3804,2012,50,60,0,0.66,276825,2
1841,38.5,5831,10439,2048,4718,1049,4462,4384,2107,57,56,0,0.92,35038,2
1842,39.4,5706,11875,1830,1500,7314,7857,2256,1116,61,41,0,0.98,39454,3
1843,40.4,16438,5432,916,3887,7494,7523,2606,1447,83,37,0,0.94,45743,3
1844,41.4,16784,29331,8600,11943,10275,3465,2464,1614,84,37,0,0.85,84476,3
1845,42.5,586239,27387,57433,52516,21268,13732,3155,2351,75,54,0,0.81,764081,2
1846,43.4,76924,19595,18430,15098,14463,9853,3741,3323,63,81,0,0.6,161427,2
1847,44.5,51564,23457,13000,53000,8080,10947,2437,3038,44,100,0,0.48,165523,2
1848,45.4,128817,49064,8427,20491,2980,20193,13176,17673,57,100,0,0.48,260821,2
1849,46.5,27797,8024,2776,2726,3372,4379,3203,1426,70,83,0,0.46,53703,2
1850,47.4,5923,12661,9634,1588,12889,4603,4467,1150,70,70,0,0.69,52915,2
1851,48.4,201737,32916,6742,7720,4619,3278,1054,305,64,51,0,0.63,258371,2
1852,49.4,23347,13511,4979,9659,5598,3592,3207,1353,57,56,0,0.66,65246,2
1853,50.5,3483,13936,3822,10602,14723,4049,2119,1841,50,61,0,0.82,54575,2
1854,51.5,250512,38750,6282,2601,6817,6541,1548,803,47,51,0,0.73,313854,2
1855,52.4,7047,9935,2280,3483,4054,2338,1708,1794,54,51,0,0.67,32639,2
1856,53.4,35039,32277,16723,2935,2507,5976,1858,1716,51,47,0,0.74,99031,3
1857,54.4,15192,13130,6215,5011,6404,4846,2263,728,56,47,0,0.74,53789,3
1858,55.4,112535,51462,17224,8454,7247,3367,297,265,43,57,0,0.46,200851,2
1859,56.4,13394,6402,5400,3043,5394,2637,2808,657,44,64,0,0.57,39735,2
1860,57.4,163544,56577,10596,8008,3537,2052,3512,2907,29,57,0,0.42,250733,2
1861,58.4,669558,214284,22701,11951,8717,9256,3923,1595,11,41,53,0.36,941985,3
1862,59.4,148130,30062,5647,12667,3696,2869,1920,580,14,47,0,0.27,205571,3
1863,60.5,13008,9656,6275,3878,4717,6412,973,1487,21,41,0,0.37,46406,3
1864,60.5,103976,37076,1585,11376,5594,5064,3148,1147,0,0,0,0.29,168966,3
1865,3.0,1129313,677736,127036,60248,67129,27793,41331,17281,0,0,0,0.32,2147867,3
1866,4.1,436084,31565,73627,18993,18428,5618,11156,2149,0,0,40,0.27,597620,3
1867,5.1,101662,23657,643,3217,5665,2353,1625,1441,0,0,54,0.26,140263,3
1868,6.0,2064028,246343,46052,105376,79421,38145,59560,12750,53,41,0,0.26,2651675,3
1869,7.1,60886,59475,29057,65769,24538,8934,23236,9018,57,50,37,0.41,280913,0
1870,8.2,472680,76309,43195,12498,19697,5364,9762,2291,53,53,34,0.39,641796,2
1871,9.2,458999,101414,61025,21037,29442,15149,12986,6149,64,57,32,0.4,706201,2
1872,10.0,1383341,34358,65848,13577,6656,12372,15781,5938,67,67,0,0.38,1537871,2
1873,11.1,766794,84187,18730,28816,6104,21969,21199,2988,87,60,0,0.38,950787,2
1874,12.0,2722289,371751,153129,15148,23394,68233,49815,35570,100,56,33,0.23,3439329,2
1875,13.0,1420113,683623,10903,52154,60605,55950,26239,24999,100,41,61,0.24,2334586,3
1876,14.1,556404,245933,79976,111466,91050,34697,35582,42504,100,34,0,0.29,1197612,3
1877,15.1,375549,128210,27414,37501,22413,15127,55619,18265,90,30,36,0.38,680098,3
1878,16.1,82929,33559,2755,6500,14046,4001,1755,840,84,26,76,0.38,146385,3
1879,17.0,767724,19803,19267,3245,2818,1482,849,562,69,47,0,0.34,815750,3
1880,18.0,267261,14251,51885,49132,35014,13209,7610,8005,75,54,0,0.36,446367,2
1881,19.1,63672,53544,18320,21047,5089,6987,10066,4406,74,57,0,0.38,183131,2
1882,20.0,128757,32201,9838,25917,18739,22155,12113,5936,81,66,0,0.37,255656,2
1883,21.1,1131043,104053,109399,57322,9288,6982,9134,7954,74,69,0,0.35,1435175,2
1884,22.0,12991,30197,103017,46515,34797,15230,6149,7231,61,70,0,0.63,256127,2
1885,23.0,140594,44561,76062,52753,12999,8347,2895,2538,50,81,0,0.61,340749,2
1886,24.0,614395,107568,64905,29227,34627,17520,7275,4913,30,83,0,0.52,880430,2
1887,25.0,31909,30256,48918,29057,30902,20163,14160,1987,61,80,0,0.6,207352,2
1888,26.0,38072,23676,16779,14410,56860,25102,9713,4900,80,64,0,0.74,189512,2
1889,27.0,539842,79850,78484,6033,44465,17039,10001,1856,88,56,0,0.49,777570,2
1890,28.1,130840,26871,7055,14280,4532,7310,799,418,93,56,0,0.46,192105,2
1891,29.2,85885,43584,92697,23501,34768,8343,7884,2729,75,57,0,0.52,299391,2
1892,30.4,134651,19803,7814,5514,3404,4569,1610,1151,57,61,0,0.38,178516,2
1893,31.0,20151,29552,40523,30379,32850,22943,3314,1838,67,64,0,0.34,181550,2
1894,32.1,1485669,56776,30527,6831,25543,11972,7834,2537,64,61,0,0.33,1627689,2
1895,33.1,113284,83398,41112,26372,13505,17634,7113,5170,75,56,0,0.39,307588,2
1896,34.0,1074812,87021,35438,17900,33026,9134,4935,3458,64,54,0,0.32,1265724,2
1897,35.1,141214,90692,46742,61855,21750,55209,9831,6913,66,53,0,0.38,434206,2
1898,36.2,1592904,107308,14532,30401,7470,13449,8260,2989,63,50,36,0.26,1777313,0
1899,37.2,1033797,61505,29272,26439,6279,27849,8471,6590,70,50,49,0.27,1200202,0
1900,38.0,356967,440853,56817,126402,30977,15784,28692,6813,60,50,31,0.26,1063305,0
1901,39.0,130669,95677,17501,17129,26274,4732,3025,727,34,43,0,0.28,295734,3
1902,41.2,1758447,696485,65499,196306,146986,67211,35047,24884,30,41,0,0.24,2990865,3
1903,42.0,295101,99428,13457,53119,30955,29942,21289,17864,57,41,60,0.32,561155,3
1904,44.0,1356322,758432,196220,61321,33392,62747,32674,52195,64,41,0,0.35,2553303,3
1905,45.0,65499,672454,30775,88669,76586,13537,46619,11877,47,38,0,0.52,1006016,3
1906,46.0,1500016,194962,10425,28521,17789,30431,20998,16191,37,27,0,0.52,1819333,3
1907,46.4,349164,93986,42968,27990,31873,22260,6033,1759,30,27,44,0.51,576033,3
1908,46.7,0,0,0,0,0,0,0,0,0,0,40,0.0,0,3
1909,48.1,914800,82627,16750,10985,38056,16258,9191,6482,43,24,42,0.45,1095149,3
1910,49.1,35709,50171,6376,10899,3343,7058,1673,601,64,29,0,0.44,115830,3
1911,50.1,863455,70813,33097,29781,24685,23043,11093,5009,67,40,0,0.23,1060976,3
1912,51.0,314268,49305,50757,23869,55233,27791,6377,2566,75,41,35,0.23,530166,3
1913,52.2,453117,347178,172986,19841,51638,48511,15992,9840,66,47,39,0.26,1119103,3
1914,53.0,289973,79493,24529,6601,22050,10522,10346,4090,66,48,54,0.28,447604,3
1915,54.0,598764,17265,6309,13156,3627,4865,5602,1127,64,51,0,0.24,650715,2
1916,55.0,684319,48558,84298,15943,41706,13273,11577,2701,53,57,40,0.24,902375,2
1917,56.1,785575,55063,20400,7369,34988,13319,22364,5636,61,54,0,0.25,944714,2
1918,56.7,48661,5569,8043,11679,3920,7944,3126,733,77,64,65,0.25,89675,2
1919,56.9,0,0,0,0,0,0,0,0,0,0,86,0.0,0,3
1920,57.6,73761,88488,10664,8242,30509,31654,1778,505,87,50,45,0.24,245601,0
1921,59.0,1021155,155676,16287,22302,41787,9999,9968,3459,81,37,38,0.24,1280633,3
1922,60.0,442646,23437,23275,17316,6473,11019,6890,3932,81,47,49,0.25,534988,3
1923,60.0,632762,89031,46781,31570,46761,17326,9057,6822,0,0,0,0.24,880110,3
1924,2.9,1637342,112927,9480,19744,9259,24364,6904,12381,0,0,0,0.15,1832401,3
1925,3.9,129883,357717,35912,7627,26687,26150,12679,4804,0,0,0,0.33,601459,3
1926,5.0,611097,13741,71018,36902,10150,48444,6897,2616,0,0,0,0.28,800865,3
1927,6.0,89487,61688,24950,62257,14132,11462,4452,2834,34,50,0,0.31,271262,1
1928,6.9,39261,81314,32744,21396,34032,16974,9089,4900,34,51,0,0.41,239710,2
1929,8.0,351572,51205,30113,13531,14254,19433,5622,3324,40,56,0,0.43,489054,2
1930,9.0,30825,10183,118962,35700,12606,23585,5865,2835,41,77,0,0.47,240561,2
1931,9.9,83027,15455,86439,40905,12979,11308,4258,6298,43,84,0,0.54,260669,2
1932,11.0,40872,57374,112829,3599,6872,15883,7026,2521,40,96,0,0.59,246976,2
1933,11.9,39858,10770,65596,18131,7687,13190,6844,1724,34,100,0,0.55,163800,2
1934,12.9,167162,39925,5023,26684,5096,22629,2673,3102,44,93,0,0.56,272294,2
1935,14.0,91955,148309,20628,45070,4898,9098,10127,3822,37,78,0,0.52,333907,2
1936,15.0,17914,27283,18427,38519,8154,18124,3906,764,44,75,0,0.55,133091,2
1937,15.9,53363,42915,85207,7963,14792,9044,4657,3627,37,67,0,0.53,221568,2
1938,17.0,54434,46061,15881,22557,13296,13841,5751,2667,27,69,0,0.51,174488,2
1939,18.0,9534,3950,7754,181956,9536,12956,9220,1747,35,90,0,0.74,236653,2
1940,18.9,166745,77067,8998,32663,8889,6703,3913,1337,17,81,0,0.69,306315,2
1941,19.9,160032,14677,30478,15336,6445,28584,4296,1949,41,78,57,0.61,261797,2
1942,20.9,451678,46746,53385,4725,8324,22442,2233,1951,44,78,0,0.52,591484,2
1943,22.0,3626,13288,45153,9995,5718,26081,4499,1659,64,64,0,0.77,110019,2
1944,23.0,42270,43026,55170,92439,7423,22028,7406,1951,74,77,0,0.62,271713,2
1945,23.9,254994,62481,9962,104620,18302,15598,5179,3224,54,78,0,0.62,474360,2
1946,24.9,258029,75580,54831,150314,34996,99544,29372,10282,61,81,65,0.67,712948,2
1947,26.0,694580,51909,3308,43522,9503,15783,3873,1289,51,75,0,0.67,823767,2
1948,27.0,8492,32608,45050,77966,10406,20503,8916,18720,53,75,0,0.81,222661,2
1949,28.0,108343,82943,22813,10986,19858,21804,6182,1399,61,63,0,0.75,274328,2
1950,28.9,239421,41723,73973,5606,8515,20020,8658,1069,51,63,0,0.75,398985,2
1951,30.0,116341,18170,7362,53887,4116,14496,2060,1526,53,70,0,0.7,217958,2
1952,31.0,17978,17042,22423,80115,11810,8471,5652,4625,47,74,0,0.89,168116,2
1953,31.9,149224,82975,38057,46810,5726,10377,4706,1512,35,81,0,0.44,339387,2
1954,32.9,82799,28018,31074,23972,23567,34088,3532,3417,47,78,0,0.45,230467,2
1955,33.9,93407,9205,22461,68683,7640,17307,4284,1849,44,81,0,0.47,224836,2
1956,35.0,270692,49960,87998,3420,15112,18937,5066,2455,51,75,0,0.47,453640,2
1957,35.9,36210,33351,51600,24015,5538,35448,4142,2245,70,77,0,0.37,192549,2
1958,36.9,279122,37995,35354,34808,4894,14936,4813,2563,57,81,0,0.36,414485,2
1959,38.0,23599,25778,3954,111288,12519,18283,5031,5993,53,80,0,0.47,206445,2
1960,39.0,11953,31332,33483,92399,12975,12262,8054,3911,47,87,0,0.68,206369,2
1961,40.0,123176,47728,53549,25874,5610,8494,5398,5759,27,87,0,0.72,275588,2
1962,40.9,34302,21051,12557,21960,3181,3180,933,519,17,88,0,0.66,97683,2
1963,41.9,50690,27729,6150,68965,16858,9185,1672,1851,13,84,0,0.69,183100,2
1964,43.0,8889,10899,6599,75923,2642,13770,4915,1871,21,87,0,0.74,125508,2
1965,43.9,9642,52073,14824,88973,25647,6132,5613,3090,14,87,0,0.72,205994,2
1966,44.9,89748,66344,16464,5432,11083,9049,2616,2743,21,74,0,0.71,203479,2
1967,45.9,234679,19427,103235,9918,6200,10251,2654,1483,20,80,0,0.69,387847,2
1968,47.0,27262,21663,26383,112631,15733,18996,2183,752,17,80,0,0.7,225603,2
1969,48.0,148304,42533,6849,111046,9527,24041,2972,2236,35,81,0,0.51,347508,2
1970,48.9,722687,94830,41218,85272,6322,25678,6046,2219,35,91,0,0.28,984272,2
1971,49.9,239189,75166,16871,25006,6607,6447,7073,1438,30,78,0,0.26,377797,2
1972,50.9,64711,48529,54652,14117,6601,16792,5178,3301,34,69,0,0.32,213881,2
1973,52.0,62704,43081,41650,48830,23946,7578,2221,1099,21,67,0,0.3,231109,2
1974,52.9,20461,16806,21601,42464,13225,10701,1767,1418,23,74,0,0.36,128443,2
1975,54.0,101992,58434,23038,66481,11487,20247,8808,1180,34,77,0,0.41,291667,2
1976,54.9,37076,30959,94408,36476,9222,9681,5602,5417,23,84,0,0.51,228841,2
1977,55.9,99224,102627,50773,11154,8538,11842,4398,1309,26,78,0,0.48,289865,2
1978,57.0,71974,33480,17244,44799,11790,12248,5124,1454,24,75,0,0.49,198113,2
1979,57.9,46944,16469,29345,43854,4843,21575,9375,7525,34,80,0,0.55,179930,2
1980,58.9,105249,52463,21599,53476,7370,13916,6357,4607,40,70,0,0.56,265037,2
1981,59.9,3000,13437,70833,91601,26595,11689,7849,3798,40,87,0,0.96,228802,2
1982,60.9,31656,34963,10125,38243,18187,19089,8107,2899,47,81,0,1.05,163269,2
1983,60.9,5599,12211,21019,94493,13986,15367,7184,4331,0,0,0,1.37,174190,3
1984,2.0,2145486,262849,106252,6325,14991,29401,27073,13253,0,0,0,0.19,2605630,3
1985,3.0,932121,40522,56857,18789,9341,27790,20449,8319,0,0,0,0.22,1114188,3
1986,4.0,1127373,334480,415006,110208,85838,88540,152415,37096,0,0,0,0.33,2350956,3
1987,5.0,707612,90053,25933,13513,13777,7157,4265,3167,30,30,36,0.28,865477,3
1988,6.1,90766,97614,2055,18617,27097,9498,3862,5454,29,13,0,0.32,254963,3
1989,7.1,617714,88762,12028,28929,15889,23929,9253,4264,40,7,42,0.32,800768,3
1990,8.0,251973,37160,25546,9509,9133,9770,1618,1178,47,13,0,0.3,345887,3
1991,9.0,86377,99966,10241,9084,3242,7316,2970,2977,48,4,39,0.26,222173,3
1992,10.1,151843,81410,19665,9118,37327,17133,14617,12117,57,11,0,0.35,343230,3
1993,11.1,155135,14190,945,2415,3864,8616,8774,4959,70,1,0,0.35,198898,3
1994,11.5,1398603,97152,17004,43893,12019,12322,14107,4607,63,1,52,0.34,1599707,3
1995,12.2,55815,22915,1860,939,1447,1300,2406,586,60,1,45,0.37,87268,3
1996,12.6,0,0,0,0,0,0,0,0,0,0,39,0.0,0,3
